selection,method,primary_method,shared_rank,gene,gene_short_name,scsketch_correlation,orientation_adjusted_scsketch_correlation,method_pseudotime_correlation,method_q_value,path_progress_pseudotime_spearman_r
Selection 1,PAGA/DPT,True,14,WBGene00000458,ceh-37,-0.747126817670324,-0.747126817670324,-0.64221316957339,1.2806973866508592e-71,0.9740777371856735
Selection 1,PAGA/DPT,True,15,WBGene00011289,R102.2,0.7449005075058687,0.7449005075058687,0.8096769471602381,2.068804106951733e-143,0.9740777371856735
Selection 1,PAGA/DPT,True,16,WBGene00010575,flp-25,0.7443775569956793,0.7443775569956793,0.8179504925256761,9.506405945314778e-149,0.9740777371856735
Selection 1,PAGA/DPT,True,17,WBGene00019039,fbxb-18,-0.7394520289089258,-0.7394520289089258,-0.6608152341217708,2.850926749716415e-77,0.9740777371856735
Selection 1,PAGA/DPT,True,18,WBGene00001898,his-24,-0.7338240412320495,-0.7338240412320495,-0.6311830968493187,1.8442713546534247e-68,0.9740777371856735
Selection 1,PAGA/DPT,True,19,WBGene00008447,E01G4.5,-0.7289311284956804,-0.7289311284956804,-0.6029287823943407,7.252642938322662e-61,0.9740777371856735
Selection 1,PAGA/DPT,True,20,WBGene00010239,F58B4.6,0.7257035002448528,0.7257035002448528,0.7809101458953431,1.2048573285080118e-126,0.9740777371856735
Selection 1,PAGA/DPT,True,21,WBGene00019040,fbxb-19,-0.7223185245688661,-0.7223185245688661,-0.7856909271323216,3.0098668991443835e-129,0.9740777371856735
Selection 1,PAGA/DPT,True,22,WBGene00235158,Y37E3.30,-0.712615718953596,-0.712615718953596,-0.5809497491918902,1.727711856860231e-55,0.9740777371856735
Selection 1,PAGA/DPT,True,23,WBGene00017236,F08B4.4,0.6946496166766121,0.6946496166766121,0.7211365735307346,8.752207130135684e-99,0.9740777371856735
Selection 1,PAGA/DPT,True,24,WBGene00019324,K02F2.5,0.6842126994673352,0.6842126994673352,0.7320422338676716,3.0672288448419616e-103,0.9740777371856735
Selection 1,PAGA/DPT,True,25,WBGene00009144,del-3,0.6768336774100199,0.6768336774100199,0.7357846313381246,7.789946164073188e-105,0.9740777371856735
Selection 1,PAGA/DPT,True,26,WBGene00017671,pgal-1,0.6728519772992972,0.6728519772992972,0.7305689086637613,1.2509857847588587e-102,0.9740777371856735
