gene,gene_short_name,dpt_correlation,p_value,q_value,abs_correlation
WBGene00001075,dpy-14,0.06058000890162041,1.8525882744439953e-06,5.398076181356338e-06,0.06058000890162041
WBGene00007591,zipt-13,0.06057388601572657,1.8570334099444442e-06,5.4100548711443755e-06,0.06057388601572657
WBGene00019048,F58E2.4,0.060570935018825496,1.8591794524879724e-06,5.415332558856854e-06,0.060570935018825496
WBGene00019536,rpi-2,0.06054795188976924,1.8759751093683934e-06,5.4632713976426305e-06,0.06054795188976924
WBGene00003748,nlp-10,0.0605217360436328,1.895311123175804e-06,5.518589769189466e-06,0.0605217360436328
WBGene00010948,M195.2,0.06051411607957287,1.900967191476918e-06,5.534063424019104e-06,0.06051411607957287
WBGene00001395,fat-3,-0.06051033954619769,1.903776403046512e-06,5.541245284581902e-06,0.06051033954619769
WBGene00013678,Y105E8A.20,-0.06050335756392936,1.9089805234699475e-06,5.555394075489826e-06,0.06050335756392936
WBGene00014073,ZK757.1,0.06049110851444352,1.9181435593556044e-06,5.581004470684806e-06,0.06049110851444352
WBGene00019525,K08D9.4,0.06049067278715124,1.918470286797902e-06,5.581004470684806e-06,0.06049067278715124
WBGene00010372,H08J19.1,0.06048454823048725,1.9230684081493336e-06,5.593375905290823e-06,0.06048454823048725
WBGene00019978,hacd-1,0.060482440399093916,1.9246533475745626e-06,5.596980424555912e-06,0.060482440399093916
WBGene00016124,dnc-4,-0.06047421948014757,1.93084689205417e-06,5.613983278172225e-06,0.06047421948014757
WBGene00008185,best-10,0.0604467809129703,1.9516576641304956e-06,5.673077119434792e-06,0.0604467809129703
WBGene00016409,sumv-1,-0.06044649968236405,1.9518720746276697e-06,5.673077119434792e-06,0.06044649968236405
WBGene00009320,F32B6.3,-0.06043935623276815,1.95732583965578e-06,5.687907393342855e-06,0.06043935623276815
WBGene00010922,M142.5,-0.06043078168553183,1.9638915245603903e-06,5.70596295813419e-06,0.06043078168553183
WBGene00012450,Y17D7B.2,0.06041368978268602,1.977042263225843e-06,5.743141070353938e-06,0.06041368978268602
WBGene00009813,haly-1,0.06039992738812773,1.98769265959863e-06,5.7725797641924885e-06,0.06039992738812773
WBGene00010333,copz-1,-0.060399673859657194,1.987889375317275e-06,5.7725797641924885e-06,0.060399673859657194
WBGene00043994,C07A9.12,0.060386696009053525,1.9979840548547292e-06,5.800853113897755e-06,0.060386696009053525
WBGene00045298,fbxc-12,-0.06036875576227647,2.0120197785605024e-06,5.840556517470716e-06,0.06036875576227647
WBGene00001563,gei-6,-0.06035676040866963,2.0214572293779594e-06,5.866900064184965e-06,0.06035676040866963
WBGene00003119,mac-1,-0.0603367707110734,2.0372788239260792e-06,5.911759626704493e-06,0.0603367707110734
WBGene00015063,B0228.6,0.06033258855365971,2.040603958494954e-06,5.920347481804389e-06,0.06033258855365971
WBGene00016898,C53C9.2,0.06032022811763919,2.0504619411553564e-06,5.9478824348239935e-06,0.06032022811763919
WBGene00017134,EEED8.3,-0.06031840907932594,2.0519165577243275e-06,5.951035805601345e-06,0.06031840907932594
WBGene00022773,ZK616.3,-0.06028880176906562,2.075732195690667e-06,6.0190286018308175e-06,0.06028880176906562
WBGene00002258,lbp-6,0.06024546024226535,2.1110746656299785e-06,6.12041557491148e-06,0.06024546024226535
WBGene00044065,tag-229,0.060232271021580575,2.1219438829997798e-06,6.150826235863307e-06,0.060232271021580575
WBGene00000415,ced-1,-0.060220977701436654,2.1312933767283297e-06,6.176821613743532e-06,0.060220977701436654
WBGene00016353,C33F10.4,-0.06021819976858237,2.1335992211031803e-06,6.182397743039136e-06,0.06021819976858237
WBGene00044078,tag-243,0.06020094014208403,2.1479794713687894e-06,6.222952871784476e-06,0.06020094014208403
WBGene00001747,gsp-1,-0.06019394799181667,2.1538315874984746e-06,6.238790888153005e-06,0.06019394799181667
WBGene00004039,plc-4,-0.06015800362635424,2.1841578430740915e-06,6.3255023779387745e-06,0.06015800362635424
WBGene00012066,fbxb-116,-0.06014665891521672,2.1938141932345144e-06,6.352331798435847e-06,0.06014665891521672
WBGene00017768,F25B4.5,-0.060129144126302596,2.2088029014343138e-06,6.3945890541792254e-06,0.060129144126302596
WBGene00016899,C53C11.1,-0.06010999086474286,2.2253063087690844e-06,6.441215543723456e-06,0.06010999086474286
WBGene00005128,srd-50,0.06010788191727335,2.227130701611237e-06,6.4453441144752715e-06,0.06010788191727335
WBGene00023421,rde-11,-0.060102194339079186,2.2320580312243245e-06,6.458449542813485e-06,0.060102194339079186
WBGene00020950,dlst-1,-0.06009224277871859,2.2407045706570035e-06,6.4823098817363235e-06,0.06009224277871859
WBGene00021354,fpn-1.1,0.06009015416734666,2.242523365359537e-06,6.486412706663384e-06,0.06009015416734666
WBGene00005297,srh-76,0.060088373916558656,2.2440747537660566e-06,6.489445228429022e-06,0.060088373916558656
WBGene00018707,oac-31,0.060088031406985876,2.24437334975312e-06,6.489445228429022e-06,0.060088031406985876
WBGene00017911,fbxb-106,-0.06008112842642107,2.2503994277407314e-06,6.505707469019446e-06,0.06008112842642107
WBGene00003561,ncr-1,0.06006543780038188,2.264154669179353e-06,6.5443042490810575e-06,0.06006543780038188
WBGene00007941,C34F6.7,-0.060052975650898205,2.2751371306553115e-06,6.57487424943259e-06,0.060052975650898205
WBGene00019304,K02D10.4,0.06003050868893448,2.2950658197184623e-06,6.631282254261482e-06,0.06003050868893448
WBGene00008480,eif-2A,0.06000878737053395,2.3144923594586895e-06,6.68621949765479e-06,0.06000878737053395
WBGene00013268,tric-1B.2,-0.06000053686840525,2.3219125104017067e-06,6.706458681488483e-06,0.06000053686840525
WBGene00003623,nhr-25,-0.05998263486620345,2.338091419386574e-06,6.75198435218609e-06,0.05998263486620345
WBGene00010420,mcrs-1,-0.059964754372799765,2.3543588776846335e-06,6.796750304721137e-06,0.059964754372799765
WBGene00004459,rpn-2,-0.05996467362417564,2.354432587647039e-06,6.796750304721137e-06,0.05996467362417564
WBGene00044467,R05C11.4,0.05995447555700048,2.3637595410514575e-06,6.8224589106426385e-06,0.05995447555700048
WBGene00020967,W03A5.2,-0.05995296627225168,2.365142912675148e-06,6.825235081453573e-06,0.05995296627225168
WBGene00004438,rpl-25.1,-0.059933615387581046,2.3829484350207503e-06,6.8753922059615084e-06,0.059933615387581046
WBGene00020045,glb-23,0.059916666089653896,2.398649801174819e-06,6.919461532268426e-06,0.059916666089653896
WBGene00004434,rpl-22,0.059915621675583806,2.399620558813187e-06,6.921028872159445e-06,0.059915621675583806
WBGene00010790,sodh-1,0.059896457226879994,2.4175005370562026e-06,6.971356847019418e-06,0.059896457226879994
WBGene00000860,cwp-2,0.059895593595766974,2.4183092881258623e-06,6.972447292260321e-06,0.059895593595766974
WBGene00019121,npl-4.2,-0.0598774695320147,2.435341675321907e-06,7.020304861458487e-06,0.0598774695320147
WBGene00011333,nrde-2,-0.05986607417968828,2.4461095343891018e-06,7.050089993027472e-06,0.05986607417968828
WBGene00012762,Y41E3.1,-0.059832116845279865,2.4784686263270788e-06,7.142082932459167e-06,0.059832116845279865
WBGene00021160,gba-4,0.05982406138234618,2.486205021649123e-06,7.163101727854556e-06,0.05982406138234618
WBGene00016609,C43E11.12,-0.059808449162607864,2.5012648950259475e-06,7.205209247511145e-06,0.059808449162607864
WBGene00013604,Y87G2A.18,-0.059796662193644906,2.5126928100943295e-06,7.236841334231125e-06,0.059796662193644906
WBGene00020469,T13A10.2,-0.05978532335214193,2.5237335233403775e-06,7.2673471829854865e-06,0.05978532335214193
WBGene00011696,eea-1,-0.059747409529714635,2.560989587385311e-06,7.373318527550312e-06,0.059747409529714635
WBGene00019394,K04F10.1,0.059724515055773655,2.5837418401079494e-06,7.437501844449408e-06,0.059724515055773655
WBGene00016391,lonp-1,-0.05972119213720407,2.5870601929330803e-06,7.444444180181624e-06,0.05972119213720407
WBGene00016129,C26B2.7,0.05972117923478547,2.5870730855905385e-06,7.444444180181624e-06,0.05972117923478547
WBGene00004507,rpy-1,0.05971674604144983,2.591506576913753e-06,7.455876775655204e-06,0.05971674604144983
WBGene00015125,B0303.3,-0.05971512124025138,2.593133312308164e-06,7.459231585165001e-06,0.05971512124025138
WBGene00006966,xtr-2,0.05967752767036021,2.631046404509016e-06,7.5669455385097674e-06,0.05967752767036021
WBGene00015301,C01F1.6,-0.05966768082858864,2.6410645020911253e-06,7.59440888258915e-06,0.05966768082858864
WBGene00016258,vha-16,0.059653599574727045,2.655454273609747e-06,7.634431036628023e-06,0.059653599574727045
WBGene00012860,acdh-11,0.05962777203156634,2.6820434529332274e-06,7.709506051818715e-06,0.05962777203156634
WBGene00016277,C30G12.6,-0.05962520157465091,2.6847036437016826e-06,7.715782995885275e-06,0.05962520157465091
WBGene00003625,nhr-31,0.05960753457331881,2.7030560091042126e-06,7.767148695548432e-06,0.05960753457331881
WBGene00005552,sri-40,0.05959552896634242,2.715595980610868e-06,7.800834402809748e-06,0.05959552896634242
WBGene00022515,ttr-48,0.059595388948042706,2.7157425598220446e-06,7.800834402809748e-06,0.059595388948042706
WBGene00008963,F19H8.2,0.05959342389661865,2.71780048969439e-06,7.805361037447955e-06,0.05959342389661865
WBGene00001050,dom-3,-0.05958117809645504,2.730658843808211e-06,7.840898740723984e-06,0.05958117809645504
WBGene00007741,glb-8,0.059553392771720476,2.760050845497464e-06,7.923890654307613e-06,0.059553392771720476
WBGene00021017,cil-7,0.05954819909236318,2.7655784129765027e-06,7.938352360027572e-06,0.05954819909236318
WBGene00016490,C36E6.2,-0.05954455313594309,2.7694651014220717e-06,7.948099773524668e-06,0.05954455313594309
WBGene00015219,B0507.2,0.05953054894243169,2.7844427291948255e-06,7.989668026071703e-06,0.05953054894243169
WBGene00021125,ccb-2,-0.05952794353176602,2.7872378026586806e-06,7.996271173042054e-06,0.05952794353176602
WBGene00012395,Y6D1A.1,-0.05951537990677201,2.800753833694401e-06,8.033623751139016e-06,0.05951537990677201
WBGene00003736,nhx-9,0.05950040449237738,2.816946632844368e-06,8.078639723523911e-06,0.05950040449237738
WBGene00000239,bas-1,0.05948047766030329,2.8386326734444476e-06,8.139390870977953e-06,0.05948047766030329
WBGene00016812,C50D2.9,-0.059451137459905566,2.8708548649886332e-06,8.230326128522655e-06,0.059451137459905566
WBGene00018845,F54H12.5,-0.05941771239427358,2.907990710020515e-06,8.335313431873284e-06,0.05941771239427358
WBGene00019655,K11G9.5,-0.05941697451108538,2.9088156870912363e-06,8.336202408032088e-06,0.05941697451108538
WBGene00002031,hst-6,-0.059408281905016076,2.9185512151285238e-06,8.362622770370034e-06,0.059408281905016076
WBGene00020463,cec-6,-0.05940462681603379,2.92265416185173e-06,8.372897414844873e-06,0.05940462681603379
WBGene00194998,C16C4.18,-0.05938336011130081,2.946636641120824e-06,8.440109763493434e-06,0.05938336011130081
WBGene00007219,nlp-38,0.0593740193582576,2.9572297730076603e-06,8.468953746823494e-06,0.0593740193582576
WBGene00020572,rund-1,0.059345062967747705,2.9903011777029314e-06,8.562149720489101e-06,0.059345062967747705
WBGene00015373,C03B1.2,0.059335697315729574,3.0010735024985786e-06,8.591474920872875e-06,0.059335697315729574
WBGene00003178,mec-17,0.05933134247507406,3.0060950854415957e-06,8.603736109683118e-06,0.05933134247507406
WBGene00044484,hot-9,0.059331061676307195,3.0064191519631347e-06,8.603736109683118e-06,0.059331061676307195
WBGene00003509,mxl-1,-0.059323784966140096,3.014828811298681e-06,8.626278160902676e-06,0.059323784966140096
WBGene00007389,glb-3,0.059303058354532055,3.0389062937611833e-06,8.693634400809378e-06,0.059303058354532055
WBGene00020475,sut-1,-0.05929448026315409,3.04892506872259e-06,8.720755116190811e-06,0.05929448026315409
WBGene00007850,C31G12.1,-0.05928543913531886,3.0595189334450066e-06,8.749510874309704e-06,0.05928543913531886
WBGene00003951,pbs-5,0.059277820849961076,3.068472992375666e-06,8.77356784258287e-06,0.059277820849961076
WBGene00011972,T23G11.7,-0.05926406755497569,3.0847014378320526e-06,8.818412020017053e-06,0.05926406755497569
WBGene00000193,arl-6,0.059256883037441026,3.0932116354331716e-06,8.841179664772094e-06,0.059256883037441026
WBGene00005607,srj-19,0.05924285790390975,3.1098895974217944e-06,8.88728068504301e-06,0.05924285790390975
WBGene00006999,zyx-1,0.059212891524123665,3.1458135124208258e-06,8.988355813149465e-06,0.059212891524123665
WBGene00018312,F41H8.1,0.05919299917693236,3.1698800045522352e-06,9.055521706723675e-06,0.05919299917693236
WBGene00003927,pas-6,0.059188059000140326,3.1758841237979754e-06,9.071073510766769e-06,0.059188059000140326
