selection,gene,gene_short_name,scsketch_correlation,abs_scsketch_correlation,orientation_adjusted_scsketch_correlation,paga_dpt_correlation,same_direction_orientation_adjusted,scsketch_p_value,q_value
Selection 2,WBGene00004207,ptb-1,0.6236396365193242,0.6236396365193242,0.6236396365193242,0.7461719410319547,True,1.9769832974242594e-108,3.203202496802314e-223
Selection 2,WBGene00002253,lbp-1,-0.8198022695283009,0.8198022695283009,-0.8198022695283009,-0.7303115948403629,True,6.73992513498787e-243,4.2817129666729364e-209
Selection 2,WBGene00010236,F58B4.3,0.5557764333964569,0.5557764333964569,0.5557764333964569,0.7222657153325798,True,8.184885358036969e-82,2.3904090261384633e-202
Selection 2,WBGene00022295,cng-2,0.5792020144709612,0.5792020144709612,0.5792020144709612,0.7205330730451477,True,2.6766079572850358e-90,6.227599124663427e-201
Selection 2,WBGene00016397,maph-9,0.6115233071473402,0.6115233071473402,0.6115233071473402,0.712337864195208,True,3.3649023457567476e-103,2.5195780201918154e-194
Selection 2,WBGene00016016,C23G10.10,0.5197606543018988,0.5197606543018988,0.5197606543018988,0.6856434455215104,True,5.163366492786099e-70,2.8892022609968706e-174
Selection 2,WBGene00016088,clec-266,-0.7538295779659488,0.7538295779659488,-0.7538295779659488,-0.6832912299009801,True,1.7040964667726596e-183,1.2996797278603393e-172
Selection 2,WBGene00194689,Y38H6C.24,0.5198215035868353,0.5198215035868353,0.5198215035868353,0.6803618144581646,True,4.945086604086879e-70,1.4283985931484459e-170
Selection 2,WBGene00017985,neg-1,0.5707970164807449,0.5707970164807449,0.5707970164807449,0.6741229751987511,True,3.5547564705029085e-87,2.751041946175753e-166
Selection 2,WBGene00219421,Y66D12A.30,0.5128745847755597,0.5128745847755597,0.5128745847755597,0.6716704066079644,True,6.477988389306181e-68,1.1493804850632087e-164
Selection 2,WBGene00022144,pghm-1,0.4952012011376133,0.4952012011376133,0.4952012011376133,0.6528525876351918,True,9.606059296255256e-63,1.70500162615935e-152
Selection 2,WBGene00010864,xbx-3,0.4903222045715442,0.4903222045715442,0.4903222045715442,0.6514086026250068,True,2.277741105980041e-61,1.2957803185644585e-151
Selection 2,WBGene00012328,W07G1.1,0.4999552698076659,0.4999552698076659,0.4999552698076659,0.6411781094385709,True,4.180495011608094e-64,2.1736988626564725e-145
Selection 2,WBGene00044144,M153.4,0.4844751043541005,0.4844751043541005,0.4844751043541005,0.6368170075699768,True,9.46823482156e-60,8.001040721168784e-143
Selection 2,WBGene00012853,Y44A6D.2,0.4764222708077137,0.4764222708077137,0.4764222708077137,0.6331146615404665,True,1.4288089592373718e-57,1.0905744552801953e-140
Selection 3,WBGene00045386,C02B4.4,0.8423939794455813,0.8423939794455813,0.8423939794455813,0.9275404494903756,True,2.988899262016309e-131,3.841246875815756e-263
Selection 3,WBGene00007883,C33A12.4,0.8567820659020382,0.8567820659020382,0.8567820659020382,0.9083840444157375,True,1.9134912769816197e-140,3.3820152911169864e-233
Selection 3,WBGene00016114,flp-27,0.796130915478436,0.796130915478436,0.796130915478436,0.8778480046337275,True,5.326361772987942e-107,6.30100848722227e-197
