gene,gene_short_name,correlation,p-value,discovery_score
WBGene00000681,col-107,0.25252202955431746,1.8357478756960662e-08,0
WBGene00019023,F58A6.2,0.2525165952129807,1.8370798607593023e-08,0
WBGene00005701,sru-38,0.25136934061301774,2.1402523691131203e-08,0
WBGene00004053,tank-1,0.25097335655872427,2.255724859379998e-08,0
WBGene00009579,arrd-6,0.25090401117709443,2.2765574467451348e-08,0
WBGene00001459,flp-16,0.249210145859567,2.8472954303879474e-08,0
WBGene00008327,srz-44,0.24805294737761538,3.3143524896046994e-08,0
WBGene00012216,W02D9.10,0.2476110276221112,3.5115871280835286e-08,0
WBGene00013187,npr-34,0.2451986632509195,4.805086137880856e-08,0
WBGene00006801,unc-68,0.24457885918826536,5.205519343784601e-08,0
WBGene00022633,ZC581.3,0.24405728931707232,5.567299080992475e-08,0
WBGene00020242,phat-5,0.24117492807992258,8.048389555382799e-08,0
WBGene00017068,D2092.8,0.24065277681717065,8.599813716422261e-08,0
WBGene00011314,T01B7.9,0.24063335410936418,8.621013240925283e-08,0
WBGene00004912,sng-1,0.2399647803415609,9.382296290756884e-08,0
WBGene00022038,Y65B4BL.6,0.23987504647690275,9.489284597397061e-08,0
WBGene00004174,abu-14,0.23830385316545155,1.156484497792318e-07,0
WBGene00011873,T20G5.12,0.2375731692690798,1.2673224830824739e-07,0
WBGene00020997,gpa-18,0.23716438029286738,1.3337300947011064e-07,0
WBGene00017353,F10E9.1,0.23589498166322145,1.562026287565958e-07,0
WBGene00003563,ncs-1,0.23363286578466966,2.0654325842324408e-07,0
WBGene00006407,lim-9,0.23198150824429248,2.528143800605671e-07,0
WBGene00004345,rgs-2,0.23145981911756242,2.69401810463137e-07,0
WBGene00008407,D2023.3,0.2294995375961903,3.4160444697154353e-07,0
WBGene00002267,lec-4,0.22915628451495756,3.560299030745557e-07,0
WBGene00007553,C13G3.1,0.22908538559171782,3.5908166364971716e-07,0
WBGene00008018,tbc-8,0.22848844342144328,3.85793792543315e-07,0
